Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1764122353.540027,1468,0,1
2,Payment,1764122353.541504,1502,0,1
2,Payment,1764122353.543016,1269,0,1
1,NewOrder,1764122353.544293,2848,0,1
1,NewOrder,1764122353.547155,4574,0,1
2,Payment,1764122353.551740,1703,0,1
2,Payment,1764122353.553453,2295,0,1
1,NewOrder,1764122353.555775,5072,0,1
1,NewOrder,1764122353.560873,3199,0,1
2,Payment,1764122353.564103,2953,0,1
2,Payment,1764122353.567091,1768,0,1
2,Payment,1764122353.568878,2306,0,1
5,StockLevel,1764122353.571210,1706,0,1
1,NewOrder,1764122353.572936,3398,0,1
1,NewOrder,1764122353.576359,3455,0,1
1,NewOrder,1764122353.579841,4012,0,1
2,Payment,1764122353.583878,1974,0,1
2,Payment,1764122353.585882,1780,0,1
1,NewOrder,1764122353.587685,4060,0,1
3,OrderStatus,1764122353.591766,827,0,1
2,Payment,1764122353.592607,1696,0,1
1,NewOrder,1764122353.594325,3317,0,1
2,Payment,1764122353.597672,1419,0,1
2,Payment,1764122353.599115,1809,0,1
1,NewOrder,1764122353.600942,5461,0,1
2,Payment,1764122353.606421,1548,0,1
2,Payment,1764122353.607979,1060,0,1
1,NewOrder,1764122353.609046,4869,0,1
2,Payment,1764122353.613941,1599,0,1
2,Payment,1764122353.615556,2024,0,1
1,NewOrder,1764122353.617608,2919,0,1
1,NewOrder,1764122353.620549,6364,0,1
2,Payment,1764122353.626937,1833,0,1
1,NewOrder,1764122353.628793,4724,0,1
1,NewOrder,1764122353.633543,3323,0,1
1,NewOrder,1764122353.636890,3423,0,1
4,Delivery,1764122353.640333,7344,0,1
2,Payment,1764122353.647705,2014,0,1
2,Payment,1764122353.649741,1502,0,1
2,Payment,1764122353.651255,1770,0,1
2,Payment,1764122353.653039,1592,0,1
2,Payment,1764122353.654671,2334,0,1
1,NewOrder,1764122353.657020,4406,0,1
3,OrderStatus,1764122353.661434,625,0,1
2,Payment,1764122353.662067,1557,0,1
2,Payment,1764122353.663630,1218,0,1
1,NewOrder,1764122353.664856,2328,0,1
1,NewOrder,1764122353.667209,4415,0,1
1,NewOrder,1764122353.671641,3746,0,1
1,NewOrder,1764122353.675394,2411,0,1
2,Payment,1764122353.677815,1476,0,1
1,NewOrder,1764122353.679295,2423,0,1
1,NewOrder,1764122353.681724,3709,0,1
1,NewOrder,1764122353.685443,5586,0,1
2,Payment,1764122353.691046,1977,0,1
1,NewOrder,1764122353.693030,3106,0,1
1,NewOrder,1764122353.696152,5767,0,1
2,Payment,1764122353.701943,1840,0,1
1,NewOrder,1764122353.703813,3601,0,1
1,NewOrder,1764122353.707441,4230,0,1
2,Payment,1764122353.711680,2195,0,1
1,NewOrder,1764122353.713882,2286,0,1
1,NewOrder,1764122353.716172,3211,0,1
1,NewOrder,1764122353.719388,4930,0,1
1,NewOrder,1764122353.724351,3793,0,1
5,StockLevel,1764122353.728166,3511,0,1
2,Payment,1764122353.731701,1744,0,1
1,NewOrder,1764122353.733458,5230,0,1
1,NewOrder,1764122353.738711,3411,0,1
1,NewOrder,1764122353.742150,3273,0,1
1,NewOrder,1764122353.745441,3712,0,1
1,NewOrder,1764122353.749162,3300,0,1
1,NewOrder,1764122353.752469,2500,0,1
2,Payment,1764122353.754977,1406,0,1
2,Payment,1764122353.756390,1027,0,1
2,Payment,1764122353.757425,1570,0,1
2,Payment,1764122353.759022,1138,0,1
1,NewOrder,1764122353.760168,2938,0,1
1,NewOrder,1764122353.763118,6011,0,1
2,Payment,1764122353.769144,1749,0,1
1,NewOrder,1764122353.770908,3877,0,1
1,NewOrder,1764122353.774817,4845,0,1
1,NewOrder,1764122353.779692,3736,0,1
1,NewOrder,1764122353.783454,4197,0,1
2,Payment,1764122353.787679,2054,0,1
2,Payment,1764122353.789760,1832,0,1
3,OrderStatus,1764122353.791610,719,0,1
1,NewOrder,1764122353.792340,2624,0,1
1,NewOrder,1764122353.795049,4419,0,1
1,NewOrder,1764122353.799537,3858,0,1
1,NewOrder,1764122353.803417,3314,0,1
2,Payment,1764122353.806741,1275,0,1
2,Payment,1764122353.808022,1367,0,1
2,Payment,1764122353.809394,1296,0,1
1,NewOrder,1764122353.810696,3457,0,1
2,Payment,1764122353.814175,1688,0,1
1,NewOrder,1764122353.815884,2898,0,1
1,NewOrder,1764122353.818797,2720,0,1
4,Delivery,1764122353.821528,5777,0,1
1,NewOrder,1764122353.827326,2984,0,1
2,Payment,1764122353.830319,1441,0,1
2,Payment,1764122353.831764,1417,0,1
5,StockLevel,1764122353.833185,1257,0,1
1,NewOrder,1764122353.834448,3197,0,1
2,Payment,1764122353.837663,1943,0,1
3,OrderStatus,1764122353.839618,760,0,1
1,NewOrder,1764122353.840383,3847,0,1
1,NewOrder,1764122353.844243,4133,0,1
1,NewOrder,1764122353.848387,3988,0,1
3,OrderStatus,1764122353.852392,866,0,1
1,NewOrder,1764122353.853267,5753,0,1
